plot twist;motivation;character trait
Герой выполнил все поставленные задачи. Но есть одно но. Оказывается, все это время он был на тёмной стороне, даже об этом не подозревая.;Герой хочет спать, но не может по какой-то причине;одинокий
Персонаж падает в пропасть.;Герой желает победить лень;понимающий
Все вам подыгрывали.;Герой хочет получить власть, которая и не снилась его отцу.;спокойный
Вся ваша жизнь оказывается фантазией;Цель героя - очистить своё имя.;трусливый
То, что главный герой искал весь рассказ, оказывается лишь мифом.;Герой хочет попасть в параллельный мир;эгоистичный
Герой наконец находит предмет, который пророчили спасительным, но не знает как им пользоваться.;Герой хочет стать главным.;нарциссичный
На телефоне села зарядка;Герой хочет избавиться от скуки;безрассудный
На самом кульминационном моменте рассказа автор говорит что отключили электричество и он не успел досмотреть чем закончилась эта история.;Герой хочет найти брата/сестру;холодный
Вашего мира не существует;Герой хочет вернуться в прошлое.;безэмоциональный
Персонаж проваливается под землю.;Герой устал и хочет есть;циничный
Главный герой проваливается в старые воспоминания и не может выбраться из них.;Герою надоели дела;равнодушный
Всё вокруг замерло, как на нарисованной картине;Герой хочет встретиться с человеком с другой части света;ответственный
Главный герой просто пропадает посередине произведения и просто напросто забывается всеми персонажами и в итоге так и не возвращается;Героя подослал злодей;ленивый
Герой осознает, что выбранный путь был неправильный, а пути назад уже нет;Герой хочет стать шпионом;уверенный
Земля уходит из-под ног.;Герой хочет завоевать внимание;надёжный
Из-за стены послышался плачь.;Герой хочет спасти экологию планеты.;Персонаж хочет домой;отчаянный
Кошка сбивает лапой стакан с соком и начинает громко мяукать;Герой собирается найти кого-то, кого давно потерял.;завистливый
Оказывается, что собеседник героя — он сам.;Герой хочет стать бессмертным.;брезгливый
Всё шло по плану, но на героя нападает ворона;Герой хочет сходить в магазин;вдумчивый
Герой лишается способностей;Герой хочет перечитать все самые необычные книги в мире;свободный
Главным злодеем всё это время был главный герой.;Герой разочаровывается в прежнем идеале;хитрый
На телефоне села зарядка;Персонаж хочет подтвердить гипотезу.;сонный
Кошка кусает за палец;Герою нечего делать;тихий
Главный герой умирает в середине произведения, и дальше повествование идёт от лица злодея;Герой хочет получить повышение;серьёзный
В кармане героя оказывается предмет, который он очень долго и упорно искал;Мечтает покорить большую аудиторию.;общительный
Всё было хорошо, пока не пришёл ещё один человек;Герой хочет стать похожим на своего кумира;беспечный
Главный герой осознает нереальность происходящих событий.;Герой хочет выжить;мечтательный
В городе начинается нашествие саранчи;Герой хочет отомстить;забавный
Всё бы ничего, но вещи лежали не на своих местах.;Герой хочет снять фильм;неторопливый
Те люди, которые были для героя самыми близкими людьми, оказываются лишь плодом его воображения;Героем движет давнее обещание.;грустный
Все было неплохо, но злодей узнает план персонажа.;Герой хочет преодолеть скорость света.;решительный
Вы шли по темной улице, решили обернуться назад и увидели панду;Герой фэнтези хочет искоренить магию из своего мира;своенравный
Главный герой оказывается лишь фантазией второстепенного.;Герой хочет добиться одиночества;упрямый
В дом зашёл слон.;Герой хочет уничтожить мир.;неуклюжий
Персонаж, всегда поддерживавший боевой и командный дух, пропадает;Герой хочет доказать, что он существует;задорный
Героя в толпе кто-то схватил за руку и потащил в другом направлении.;Герой хочет совершить великое ограбление;азартный
И вдруг в этом странном здании загорается свет...;Герой просто хочет пиццу;красноречивый
Как оказалось, злодей создал свою личность, чтобы своими действиями помочь герою стать тем, кем он является.;Герой хочет защитить диплом;лукавый
Персонаж теряет память;Герой хочет наконец собрать свой гербарий, но ему мешают обстоятельства.;вредный
Главный герой проваливается в старые воспоминания и не может выбраться из них.;Герой ищет вдохновение.;асоциальный
